amfi_code,scheme_name,fund_house,category,sub_category,risk_grade
125497,HDFC Top 100 Fund - Direct Plan,HDFC Mutual Fund,Equity,Large Cap,Very High
119551,SBI Bluechip Fund - Direct Plan,SBI Mutual Fund,Equity,Large Cap,High
120503,ICICI Prudential Bluechip Fund - Direct Plan,ICICI Prudential Mutual Fund,Equity,Large Cap,High
118632,Nippon India Large Cap Fund - Direct Plan,Nippon India Mutual Fund,Equity,Large Cap,Very High
119092,Axis Bluechip Fund - Direct Plan,Axis Mutual Fund,Equity,Large Cap,High
120841,Kotak Bluechip Fund - Direct Plan,Kotak Mahindra Mutual Fund,Equity,Large Cap,High
148918,Parag Parikh Flexi Cap Fund - Direct Plan,PPFAS Mutual Fund,Equity,Flexi Cap,Very High
119775,SBI Magnum Midcap Fund - Direct Plan,SBI Mutual Fund,Equity,Mid Cap,Very High
120716,HDFC Mid-Cap Opportunities Fund - Direct Plan,HDFC Mutual Fund,Equity,Mid Cap,Very High
118778,Nippon India Small Cap Fund - Direct Plan,Nippon India Mutual Fund,Equity,Small Cap,Very High
999999,Test Missing NAV Fund,Ghost Mutual Fund,Debt,Liquid,
125497,HDFC Top 100 Fund - Direct Plan,HDFC Mutual Fund,Equity,Large Cap,Very High
